asv_id,total_reads
1SO10674,6.0
1SO10675,6.0
1SO10676,6.0
1SO10678,6.0
1SO1068,4.0
1SO10682,6.0
1SO10684,3.0
1SO10686,6.0
1SO10689,6.0
1SO1069,3.0
1SO10690,6.0
1SO10691,6.0
1SO10694,6.0
1SO10697,1.0
1SO107,2134.0
1SO10701,6.0
1SO10703,6.0
1SO10705,3.0
1SO1071,898.0
1SO10711,6.0
1SO10712,5.0
1SO10715,6.0
1SO10716,6.0
1SO10717,6.0
1SO1072,899.0
1SO10726,4.0
1SO10732,6.0
1SO10734,6.0
1SO10735,6.0
1SO10736,6.0
1SO10737,6.0
1SO1074,189.0
1SO10748,6.0
1SO10749,6.0
1SO1075,895.0
1SO10751,6.0
1SO10752,1.0
1SO10753,6.0
1SO10754,1.0
1SO10759,6.0
1SO1076,893.0
1SO10760,6.0
1SO10762,6.0
1SO10764,6.0
1SO10766,6.0
1SO10768,6.0
1SO10769,6.0
1SO10772,6.0
1SO10776,6.0
1SO10778,6.0
1SO10782,1.0
1SO10785,6.0
1SO10786,4.0
1SO1079,889.0
1SO10790,6.0
1SO10791,4.0
1SO10793,4.0
1SO10795,6.0
1SO10796,6.0
1SO10798,6.0
1SO108,5446.0
1SO10800,6.0
1SO10804,2.0
1SO10805,6.0
1SO10809,5.0
1SO1081,1.0
1SO1082,885.0
1SO10821,3.0
1SO10823,6.0
1SO10827,3.0
1SO1083,34.0
1SO10830,6.0
1SO10831,6.0
1SO10834,6.0
1SO1084,884.0
1SO10840,2.0
1SO10841,6.0
1SO10846,1.0
1SO10847,6.0
1SO10848,6.0
1SO1085,15.0
1SO10856,1.0
1SO10859,6.0
1SO1086,3.0
1SO10861,5.0
1SO10863,4.0
1SO10864,6.0
1SO10866,6.0
1SO1087,882.0
1SO10873,1.0
1SO10874,2.0
1SO1088,880.0
1SO10880,6.0
1SO1089,880.0
